"","inds","V1","V2","V3"
"1",1,0.758299156623541,0,1.17685462573208
"2",1,0.510284356113191,2.9293048298839,1.78566668572669
"3",1,0.961566866966201,5.20803610283642,1.45375933115211
"4",2,1.30472238927334,3.7021880083477,2.12090331481184
"5",2,1.88034166782178,3.53699255346163,0.606317593250637
"6",2,1.0668522238335,3.65361530230048,2.23930492106265
"7",3,0.274565920046472,1.13371628196561,2.97775778627321
"8",3,0.363112065971275,1.5257676105375,2.21705221362158
"9",3,0.399865530932664,0,1.63155570263449
"10",4,1.00671413915175,2.41211239221542,1.3606698583193
"11",4,1.47471824987329,3.10416621852422,1.76282581264224
"12",4,1.12277503781815,3.79044098816855,1.7703814230646
"13",5,0,0,1.03825621497562
"14",5,0,0,0.730618779609167
"15",5,0.412852320475613,0,1.22282873854309
"16",6,0,0,0.19707353702106
"17",6,0,0,0.438330576010722
"18",6,0,0,0.362972667983029
"19",7,1.58370729473164,2.68876749958143,2.30110350557567
"20",7,1.12958849765821,1.86006804336667,3.45540449512395
"21",7,0.875246152828615,1.52848733145174,2.82507070963575
"22",8,1.7637373626791,4.38755975521159,3.00307498698866
"23",8,2.74755330270187,4.82739131363853,3.57471329612928
"24",8,2.4765606368761,4.66066512914583,2.65580670665713
"25",9,1.75782336146379,2.62905867846823,3.09875554362335
"26",9,2.11207789471006,3.13282807752003,3.83740347575203
"27",9,2.69292831991832,0,4.04784196067941
"28",10,0.917849373863998,0,1.08607240872058
"29",10,2.8822941482416,1.56022729615689,1.91640360269991
"30",10,0.884679211344173,1.29247209417259,1.84378224378619
"31",11,0.821232036141924,3.6432071674673,3.00362520496948
"32",11,2.37845833916026,3.47191361427614,3.59334577607378
"33",11,1.54340345521372,3.35272098160942,3.44202016428493
"34",12,4.09159192924324,5.16929758759818,3.40365601479156
"35",12,4.21301811130215,6.18247072652817,5.34807738169756
"36",12,4.10546629336592,0,3.20083464091586
"37",13,0.0989138859940381,0.0835249970689178,0.190319211841973
"38",13,0,0,0.226507666965398
"39",13,0,0,0.135235731838015
"40",14,0.749350464622358,3.56929975785632,1.78486685284138
"41",14,1.1766190102464,3.23605462829928,0.882576442556103
"42",14,0.54985237255315,2.98824098514761,2.06331911216951
"43",15,1.06638788906263,3.61627853171674,2.34756358306148
"44",15,1.25793735215089,0,3.03495454441975
"45",15,1.66051316420694,5.9714027855932,3.00052149014862
"46",16,1.30665830129218,0,1.88218749019797
"47",16,0,0,1.47605312855427
"48",16,1.57434812909663,0,1.49737873329345
"49",17,0.89045006141077,2.68674451334807,2.81084729220058
"50",17,0,2.74263736818473,3.10030085951265
"51",17,0.583992287624756,2.86432098791271,2.63214574459678
"52",18,1.82332930234659,3.10221398059566,2.30835451595644
"53",18,1.96913953709455,3.69015146870017,2.04188905945955
"54",18,1.69829670748021,2.85951058225949,1.78723531426546
"55",19,0.594441100621287,0.981315590999411,1.7015808521212
"56",19,0,0,3.23984856476834
"57",19,1.0521186777665,1.37058499688941,2.71381502081938
"58",20,0.807519046472575,2.33794478532917,2.25013185729091
"59",20,1.63456232126619,2.49620540619581,1.87517993795122
"60",20,0.748125671284464,1.88446007329364,2.10717716153354
"61",21,0.430347786308124,0,2.667952895232
"62",21,0,1.90629088904749,1.10471703905874
"63",21,0,0,1.61764537673296
"64",22,1.31569639915021,2.5661866778867,2.13834217142322
"65",22,0.806901699662076,0,0.27582893177338
"66",22,1.44499610022975,0,1.41045361500983
"67",23,0,0,0.635493754795953
"68",23,0.0940555103444795,2.07208946409238,0.999480753275844
"69",23,0,0,1.03877925736682
"70",24,0,0,1.9058616567475
"71",24,0.601818651940574,1.69467308259136,1.52873126092793
"72",24,0.8124370916345,1.58063585701395,1.58339495108383
"73",25,2.07604362525075,2.49245296806702,2.32358929393637
"74",25,1.92971485442572,2.88012832798802,2.80920835298472
"75",25,0,0.508471147727522,1.81873868391185
"76",26,0.894500146666716,3.0842924874639,2.15454236152816
"77",26,1.34660121518547,3.18019807652739,2.37036893978734
"78",26,1.84631703177432,9.34257654903061,4.79359733156396
"79",27,1.41393459565149,1.69280493700484,2.56693633349983
"80",27,0.643872609951356,1.22033432339732,1.77325146467205
"81",27,1.42714294422849,1.28350214727605,-0.738363011278524
"82",28,0,2.33399056512875,0.63917776352048
"83",28,0,2.77068706131019,1.82579522115011
"84",28,0,1.94341952902303,3.00304346817991
"85",29,1.32060565952625,2.04869263488548,1.68504244142608
"86",29,2.55878729427522,5.62185865982171,5.33583038567941
"87",29,2.84162342639574,2.72076368516791,3.85493002909655
"88",30,0,0,1.42104807011571
"89",30,0.873958259518586,2.42674939505393,1.64065216206819
"90",30,0.516002071738831,0,0.981724473620783
"91",31,1.10383288753505,0,1.88927834417902
"92",31,1.16737186352224,0,2.28419917276029
"93",31,1.33497571985278,1.97612791673853,2.61169328990338
"94",32,3.8498452213289,4.39498927323794,3.68400799573052
"95",32,1.73662892653506,3.20095639507553,3.60136596059695
"96",32,1.71658718869093,3.7590129951274,2.57028810163114
"97",33,0.398179389006004,0,1.57174704130092
"98",33,0.850361229444297,1.09022377200361,1.3266151776813
"99",33,0.570789644728313,0,1.1657655550279
"100",34,0.443090364062359,0,1.75567953482781
"101",34,0.334696798095508,0,2.27294644896655
"102",34,0.572193983587167,0,2.08940984692507
"103",35,1.21223324112267,2.83969859980672,1.91010484822543
"104",35,2.25533388913548,3.04342266051435,2.85196798826927
"105",35,1.23477059632802,2.51895760541847,2.48017833388545
"106",36,1.38584372282394,0,1.00678869325496
"107",36,0.944958433072418,0,0.6712716417144
"108",36,1.16002094666753,0,1.10453610568508
"109",37,0.519017209028363,3.14907133397472,1.80728280181676
"110",37,0.543181822728914,2.56700098551328,1.21479578272352
"111",37,0.516559754875915,3.03993284272192,1.09648495581735
"112",38,2.80008810905103,5.20652498087381,3.49696795643321
